Year,State,Vehicle_Category,Vehicle_Class,EV_Sales_Quantity
2016.0,Andaman & Nicobar Island,3-Wheelers,RICKSHAW,0.0
2016.0,Andaman & Nicobar Island,4-Wheelers,CAR/CAB,0.0
2016.0,Andhra Pradesh,2-Wheelers,SCOOTER,13.0
2016.0,Andhra Pradesh,3-Wheelers,RICKSHAW,0.0
2016.0,Andhra Pradesh,4-Wheelers,CAR/CAB,6.0
2016.0,Arunachal Pradesh,2-Wheelers,SCOOTER,1.0
2016.0,Arunachal Pradesh,3-Wheelers,RICKSHAW,0.0
2016.0,Arunachal Pradesh,4-Wheelers,CAR/CAB,0.0
2016.0,Assam,2-Wheelers,SCOOTER,5.0
2016.0,Assam,3-Wheelers,RICKSHAW,1.0
2016.0,Assam,4-Wheelers,CAR/CAB,0.0
2016.0,Bihar,2-Wheelers,SCOOTER,1.0
2016.0,Bihar,3-Wheelers,RICKSHAW,1097.0
2016.0,Bihar,4-Wheelers,CAR/CAB,1.0
2016.0,Chandigarh,2-Wheelers,SCOOTER,1.0
2016.0,Chandigarh,3-Wheelers,RICKSHAW,0.0
2016.0,Chandigarh,4-Wheelers,CAR/CAB,0.0
2016.0,Chhattisgarh,2-Wheelers,SCOOTER,65.0
2016.0,Chhattisgarh,3-Wheelers,RICKSHAW,11.0
2016.0,Chhattisgarh,4-Wheelers,CAR/CAB,2.0
2016.0,DNH and DD,2-Wheelers,SCOOTER,0.0
2016.0,DNH and DD,3-Wheelers,RICKSHAW,0.0
2016.0,DNH and DD,4-Wheelers,CAR/CAB,0.0
2016.0,Delhi,2-Wheelers,SCOOTER,18.0
2016.0,Delhi,3-Wheelers,RICKSHAW,21584.0
2016.0,Delhi,4-Wheelers,CAR/CAB,72.0
2016.0,Goa,2-Wheelers,SCOOTER,27.0
2016.0,Goa,3-Wheelers,RICKSHAW,1.0
2016.0,Goa,4-Wheelers,CAR/CAB,6.0
2016.0,Gujarat,2-Wheelers,SCOOTER,36.0
2016.0,Gujarat,3-Wheelers,RICKSHAW,30.0
2016.0,Gujarat,4-Wheelers,CAR/CAB,7.0
2016.0,Haryana,2-Wheelers,SCOOTER,83.0
2016.0,Haryana,3-Wheelers,RICKSHAW,1268.0
2016.0,Haryana,4-Wheelers,CAR/CAB,8.0
2016.0,Himachal Pradesh,2-Wheelers,SCOOTER,4.0
2016.0,Himachal Pradesh,3-Wheelers,RICKSHAW,0.0
2016.0,Himachal Pradesh,4-Wheelers,CAR/CAB,0.0
2016.0,Jammu and Kashmir,2-Wheelers,SCOOTER,0.0
2016.0,Jammu and Kashmir,3-Wheelers,RICKSHAW,0.0
2016.0,Jammu and Kashmir,4-Wheelers,CAR/CAB,0.0
2016.0,Jharkhand,2-Wheelers,SCOOTER,30.0
2016.0,Jharkhand,3-Wheelers,RICKSHAW,674.0
2016.0,Jharkhand,4-Wheelers,CAR/CAB,0.0
2016.0,Karnataka,2-Wheelers,SCOOTER,56.0
2016.0,Karnataka,3-Wheelers,RICKSHAW,74.0
2016.0,Karnataka,4-Wheelers,CAR/CAB,430.0
2016.0,Kerala,2-Wheelers,SCOOTER,8.0
2016.0,Kerala,3-Wheelers,RICKSHAW,0.0
2016.0,Kerala,4-Wheelers,CAR/CAB,11.0
2016.0,Ladakh,2-Wheelers,SCOOTER,0.0
2016.0,Ladakh,3-Wheelers,RICKSHAW,0.0
2016.0,Ladakh,4-Wheelers,CAR/CAB,0.0
2016.0,Madhya Pradesh,2-Wheelers,SCOOTER,43.0
2016.0,Madhya Pradesh,3-Wheelers,RICKSHAW,791.0
2016.0,Madhya Pradesh,4-Wheelers,CAR/CAB,1.0
2016.0,Maharashtra,2-Wheelers,SCOOTER,818.0
2016.0,Maharashtra,3-Wheelers,RICKSHAW,2.0
2016.0,Maharashtra,4-Wheelers,CAR/CAB,109.0
2016.0,Manipur,2-Wheelers,SCOOTER,0.0
2016.0,Manipur,3-Wheelers,RICKSHAW,1.0
2016.0,Manipur,4-Wheelers,CAR/CAB,1.0
2016.0,Meghalaya,2-Wheelers,SCOOTER,0.0
2016.0,Meghalaya,3-Wheelers,RICKSHAW,0.0
2016.0,Meghalaya,4-Wheelers,CAR/CAB,1.0
2016.0,Mizoram,2-Wheelers,SCOOTER,1.0
2016.0,Mizoram,3-Wheelers,RICKSHAW,0.0
2016.0,Mizoram,4-Wheelers,CAR/CAB,0.0
2016.0,Nagaland,2-Wheelers,SCOOTER,0.0
2016.0,Nagaland,3-Wheelers,RICKSHAW,0.0
2016.0,Nagaland,4-Wheelers,CAR/CAB,0.0
2016.0,Odisha,2-Wheelers,SCOOTER,7.0
2016.0,Odisha,3-Wheelers,RICKSHAW,2.0
2016.0,Odisha,4-Wheelers,CAR/CAB,0.0
2016.0,Puducherry,2-Wheelers,SCOOTER,5.0
2016.0,Puducherry,3-Wheelers,RICKSHAW,2.0
2016.0,Puducherry,4-Wheelers,CAR/CAB,0.0
2016.0,Punjab,2-Wheelers,SCOOTER,9.0
2016.0,Punjab,3-Wheelers,RICKSHAW,24.0
2016.0,Punjab,4-Wheelers,CAR/CAB,1.0
2016.0,Rajasthan,2-Wheelers,SCOOTER,55.0
2016.0,Rajasthan,3-Wheelers,RICKSHAW,3930.0
2016.0,Rajasthan,4-Wheelers,CAR/CAB,2.0
2016.0,Sikkim,2-Wheelers,SCOOTER,1.0
2016.0,Sikkim,4-Wheelers,CAR/CAB,0.0
2016.0,Tamil Nadu,2-Wheelers,SCOOTER,9.0
2016.0,Tamil Nadu,3-Wheelers,RICKSHAW,2.0
2016.0,Tamil Nadu,4-Wheelers,CAR/CAB,19.0
2016.0,Tripura,2-Wheelers,SCOOTER,0.0
2016.0,Tripura,3-Wheelers,RICKSHAW,0.0
2016.0,Tripura,4-Wheelers,CAR/CAB,0.0
2016.0,Uttar Pradesh,2-Wheelers,SCOOTER,63.0
2016.0,Uttar Pradesh,3-Wheelers,RICKSHAW,15242.0
2016.0,Uttar Pradesh,4-Wheelers,CAR/CAB,0.0
2016.0,Uttarakhand,2-Wheelers,SCOOTER,26.0
2016.0,Uttarakhand,3-Wheelers,RICKSHAW,1125.0
2016.0,Uttarakhand,4-Wheelers,CAR/CAB,0.0
2016.0,West Bengal,2-Wheelers,SCOOTER,0.0
2016.0,West Bengal,3-Wheelers,RICKSHAW,1491.0
2016.0,West Bengal,4-Wheelers,CAR/CAB,15.0
2017.0,Andaman & Nicobar Island,2-Wheelers,SCOOTER,0.0
2017.0,Andaman & Nicobar Island,3-Wheelers,RICKSHAW,0.0
2017.0,Andaman & Nicobar Island,4-Wheelers,CAR/CAB,0.0
2017.0,Andhra Pradesh,2-Wheelers,SCOOTER,0.0
2017.0,Andhra Pradesh,3-Wheelers,RICKSHAW,0.0
2017.0,Andhra Pradesh,4-Wheelers,CAR/CAB,0.0
2017.0,Arunachal Pradesh,2-Wheelers,SCOOTER,0.0
2017.0,Arunachal Pradesh,3-Wheelers,RICKSHAW,0.0
2017.0,Arunachal Pradesh,4-Wheelers,CAR/CAB,0.0
2017.0,Assam,2-Wheelers,SCOOTER,5.0
2017.0,Assam,3-Wheelers,RICKSHAW,3337.0
2017.0,Assam,4-Wheelers,CAR/CAB,130.0
2017.0,Bihar,2-Wheelers,SCOOTER,13.0
2017.0,Bihar,3-Wheelers,RICKSHAW,3576.0
2017.0,Bihar,4-Wheelers,CAR/CAB,0.0
2017.0,Chandigarh,2-Wheelers,SCOOTER,1.0
2017.0,Chandigarh,3-Wheelers,RICKSHAW,9.0
2017.0,Chandigarh,4-Wheelers,CAR/CAB,13.0
2017.0,Chhattisgarh,2-Wheelers,SCOOTER,52.0
2017.0,Chhattisgarh,3-Wheelers,RICKSHAW,194.0
2017.0,Chhattisgarh,4-Wheelers,CAR/CAB,5.0
2017.0,DNH and DD,2-Wheelers,SCOOTER,1.0
2017.0,DNH and DD,3-Wheelers,RICKSHAW,0.0
2017.0,DNH and DD,4-Wheelers,CAR/CAB,0.0
2017.0,Delhi,2-Wheelers,SCOOTER,53.0
2017.0,Delhi,3-Wheelers,RICKSHAW,17825.0
2017.0,Delhi,4-Wheelers,CAR/CAB,137.0
2017.0,Goa,2-Wheelers,SCOOTER,22.0
2017.0,Goa,3-Wheelers,RICKSHAW,3.0
2017.0,Goa,4-Wheelers,CAR/CAB,13.0
2017.0,Gujarat,2-Wheelers,SCOOTER,12.0
2017.0,Gujarat,3-Wheelers,RICKSHAW,101.0
2017.0,Gujarat,4-Wheelers,CAR/CAB,10.0
2017.0,Haryana,2-Wheelers,SCOOTER,227.0
2017.0,Haryana,3-Wheelers,RICKSHAW,2236.0
2017.0,Haryana,4-Wheelers,CAR/CAB,10.0
2017.0,Himachal Pradesh,2-Wheelers,SCOOTER,0.0
